Sex,Length,Height,Whole.weight,binaryClass
M,0.66,0.2,1.791,N
F,0.675,0.205,1.925,N
F,0.675,0.175,1.689,N
F,0.69,0.18,1.659,P
F,0.695,0.2,2.0475,N
F,0.7,0.19,1.6015,N
F,0.73,0.165,2.0165,N
I,0.205,0.065,0.04,P
I,0.225,0.07,0.0565,P
I,0.23,0.05,0.064,P
I,0.275,0.07,0.0875,P
I,0.28,0.055,0.106,P
I,0.28,0.08,0.1315,P
I,0.295,0.07,0.126,P
I,0.31,0.075,0.155,P
I,0.315,0.07,0.149,P
I,0.34,0.07,0.185,P
I,0.37,0.08,0.2545,P
I,0.38,0.085,0.237,P
I,0.39,0.1,0.279,P
I,0.405,0.065,0.3205,P
I,0.415,0.1,0.3335,P
I,0.44,0.11,0.3885,P
I,0.44,0.115,0.545,P
I,0.44,0.1,0.4165,P
I,0.44,0.12,0.495,P
I,0.45,0.125,0.4775,P
I,0.45,0.12,0.468,P
F,0.455,0.12,0.4555,P
F,0.46,0.115,0.46,P
I,0.46,0.12,0.4155,P
I,0.46,0.115,0.4215,P
I,0.465,0.11,0.474,P
M,0.465,0.105,0.486,P
I,0.475,0.11,0.5735,P
I,0.475,0.105,0.468,P
M,0.48,0.1,0.5135,P
M,0.5,0.145,0.6215,P
I,0.5,0.11,0.494,P
I,0.505,0.12,0.6005,P
M,0.515,0.12,0.646,P
M,0.525,0.135,0.7945,P
M,0.525,0.125,0.812,P
F,0.53,0.17,0.828,P
M,0.53,0.14,0.681,P
F,0.53,0.15,0.889,P
M,0.54,0.14,0.7345,P
F,0.55,0.125,0.964,P
F,0.555,0.14,0.963,P
F,0.57,0.15,0.995,P
F,0.57,0.14,0.8585,P
M,0.575,0.155,0.948,P
F,0.58,0.145,0.888,P
F,0.585,0.16,0.9045,P
M,0.59,0.14,1.046,P
F,0.595,0.155,1.1775,P
F,0.595,0.15,1.0765,P
F,0.595,0.15,1.0255,N
F,0.6,0.145,0.9325,P
F,0.6,0.15,1.235,P
M,0.6,0.15,1.247,P
M,0.61,0.15,1.1495,P
F,0.615,0.16,1.1575,N
F,0.615,0.165,1.327,N
M,0.615,0.155,1.2,P
F,0.62,0.175,1.2705,P
F,0.62,0.175,1.2155,N
F,0.62,0.16,1.3245,P
M,0.625,0.17,1.3555,N
F,0.625,0.165,1.127,P
F,0.625,0.175,1.1075,P
F,0.63,0.2,1.4255,N
F,0.63,0.145,1.147,P
M,0.63,0.165,1.286,P
F,0.635,0.18,1.596,N
F,0.635,0.195,1.297,N
M,0.645,0.16,1.251,P
M,0.645,0.175,1.5105,N
F,0.65,0.185,1.4415,P
M,0.67,0.19,1.6385,P
F,0.69,0.205,1.933,N
M,0.69,0.185,1.71,P
F,0.695,0.155,1.8495,N
M,0.695,0.175,1.742,N
F,0.7,0.205,1.7975,N
F,0.705,0.205,2.381,N
M,0.765,0.18,2.398,N
M,0.77,0.215,2.1945,N
I,0.22,0.05,0.049,P
I,0.275,0.07,0.1055,P
I,0.29,0.06,0.1045,P
I,0.33,0.075,0.163,P
I,0.355,0.095,0.2275,P
I,0.375,0.1,0.219,P
I,0.415,0.1,0.3645,P
I,0.425,0.115,0.3265,P
I,0.425,0.1,0.3515,P
I,0.43,0.1,0.3465,P
I,0.44,0.1,0.407,P
I,0.44,0.115,0.4215,P
I,0.46,0.11,0.3755,P
I,0.46,0.12,0.5335,P
I,0.465,0.105,0.442,P
I,0.475,0.1,0.1315,P
I,0.475,0.115,0.5205,P
I,0.485,0.13,0.5535,P
I,0.49,0.125,0.5445,P
M,0.49,0.11,0.554,P
I,0.495,0.12,0.512,P
I,0.5,0.125,0.583,P
M,0.5,0.12,0.5765,P
M,0.505,0.135,0.723,P
I,0.51,0.155,0.5395,P
I,0.51,0.15,0.625,P
I,0.515,0.125,0.5925,P
I,0.52,0.135,0.633,P
F,0.545,0.14,0.832,P
M,0.545,0.145,0.778,P
M,0.545,0.12,0.7865,P
F,0.545,0.14,0.778,P
I,0.55,0.13,0.636,P
F,0.55,0.135,0.8435,P
I,0.555,0.13,0.648,P
M,0.565,0.13,0.784,P
F,0.57,0.18,0.908,P
M,0.57,0.135,1.02,P
F,0.57,0.16,0.811,P
F,0.575,0.15,0.897,P
M,0.58,0.13,0.852,P
F,0.585,0.15,0.938,P
F,0.585,0.14,0.6955,P
M,0.59,0.15,0.861,P
M,0.59,0.14,1.004,P
F,0.59,0.16,1.0115,P
F,0.595,0.15,1.1005,P
M,0.595,0.165,1.108,P
M,0.595,0.14,0.852,P
M,0.6,0.21,1.9875,N
F,0.605,0.15,1.079,N
F,0.615,0.17,1.055,P
M,0.615,0.15,1.198,P
F,0.615,0.155,1.084,P
M,0.615,0.175,1.103,N
M,0.62,0.155,1.1,P
M,0.62,0.15,1.1015,N
M,0.625,0.185,1.3835,N
F,0.625,0.155,1.115,P
M,0.625,0.145,1.085,N
M,0.63,0.15,1.3165,N
M,0.63,0.175,1.3415,N
M,0.63,0.15,1.027,P
M,0.645,0.16,1.1845,P
M,0.645,0.15,1.192,P
F,0.645,0.18,1.285,P
M,0.65,0.125,1.1805,P
M,0.65,0.175,1.2655,P
F,0.65,0.175,1.2895,N
M,0.65,0.155,1.407,P
F,0.65,0.155,1.122,P
M,0.66,0.165,1.4465,N
F,0.665,0.165,1.349,P
M,0.67,0.2,1.269,N
M,0.67,0.18,1.68,N
F,0.675,0.19,1.551,N
M,0.68,0.165,1.4775,N
M,0.68,0.18,1.529,N
M,0.7,0.175,1.7585,N
M,0.7,0.2,1.523,N
F,0.725,0.19,1.7315,N
M,0.725,0.2,1.51,P
M,0.735,0.175,1.88,N
F,0.74,0.22,2.012,N
M,0.75,0.215,2.201,N
I,0.19,0.03,0.0315,P
I,0.21,0.045,0.04,P
I,0.25,0.06,0.0635,P
I,0.29,0.065,0.0985,P
I,0.335,0.08,0.167,P
I,0.34,0.085,0.2015,P
I,0.345,0.095,0.183,P
I,0.355,0.08,0.187,P
I,0.36,0.08,0.1795,P
I,0.37,0.09,0.2065,P
I,0.375,0.14,0.3,P
I,0.375,0.095,0.2295,P
I,0.385,0.125,0.343,P
I,0.385,0.085,0.244,P
I,0.395,0.1,0.3075,P
I,0.4,0.1,0.3415,P
I,0.405,0.1,0.271,P
I,0.405,0.11,0.91,P
I,0.405,0.1,0.268,P
I,0.405,0.09,0.2885,P
I,0.41,0.1,0.3,P
I,0.41,0.11,0.326,P
I,0.415,0.1,0.358,P
I,0.42,0.115,0.314,P
I,0.42,0.11,0.4025,P
I,0.43,0.11,0.3645,P
I,0.445,0.11,0.4235,P
M,0.45,0.115,0.4305,P
I,0.45,0.095,0.3505,P
I,0.455,0.115,0.486,P
I,0.46,0.1,0.471,P
I,0.46,0.105,0.415,P
I,0.475,0.115,0.5195,P
M,0.48,0.12,0.5895,N
I,0.485,0.125,0.5215,P
I,0.485,0.14,0.4475,P
I,0.49,0.125,0.5585,N
I,0.505,0.125,0.596,P
I,0.505,0.135,0.5385,P
I,0.51,0.145,0.7665,P
F,0.515,0.135,0.516,P
M,0.515,0.14,0.7355,P
I,0.515,0.11,0.531,P
I,0.525,0.13,0.607,P
F,0.525,0.15,0.7055,N
I,0.525,0.13,0.6445,P
I,0.525,0.12,0.6315,P
M,0.535,0.155,0.7845,N
F,0.545,0.15,0.9475,P
I,0.55,0.145,0.712,N
I,0.55,0.145,0.89,N
I,0.55,0.155,0.912,P
I,0.55,0.135,0.656,N
I,0.55,0.15,0.936,P
I,0.555,0.145,0.6975,N
F,0.555,0.175,1.1465,P
I,0.56,0.14,0.825,N
I,0.56,0.135,0.72,N
I,0.565,0.15,0.8215,N
F,0.57,0.155,1.017,N
F,0.575,0.155,0.8975,P
M,0.58,0.175,1.2255,N
F,0.58,0.145,0.9865,N
F,0.58,0.15,0.844,P
I,0.585,0.145,0.8465,N
M,0.585,0.165,0.885,N
I,0.585,0.145,0.6735,P
F,0.585,0.13,0.8755,P
M,0.59,0.145,0.9235,P
M,0.59,0.14,0.977,N
M,0.595,0.14,1.0305,N
M,0.6,0.09,1.05,P
M,0.6,0.185,1.1145,N
M,0.6,0.145,0.877,P
M,0.6,0.185,1.285,P
M,0.61,0.185,1.3065,N
F,0.61,0.13,0.8725,N
F,0.615,0.15,1.0265,N
F,0.62,0.14,1.1605,P
F,0.62,0.165,1.0125,N
M,0.625,0.14,1.096,N
M,0.625,0.165,1.205,N
M,0.63,0.175,1.221,N
F,0.63,0.155,1.0005,N
M,0.63,0.15,1.1355,N
M,0.63,0.195,1.3135,N
M,0.64,0.155,1.1955,N
M,0.64,0.15,1.098,N
M,0.64,0.17,1.139,N
F,0.64,0.17,1.2265,N
M,0.64,0.08,1.042,N
M,0.65,0.155,1.368,P
M,0.65,0.175,1.446,N
F,0.66,0.19,1.4045,P
F,0.66,0.2,1.463,N
F,0.675,0.17,1.711,P
M,0.7,0.205,1.74,N
F,0.705,0.205,1.757,P
M,0.71,0.2,1.601,N
M,0.72,0.205,2.165,N
M,0.725,0.19,2.3305,P
I,0.24,0.05,0.0545,P
I,0.255,0.055,0.0725,P
I,0.275,0.055,0.0925,P
I,0.32,0.09,0.183,P
I,0.325,0.075,0.1525,P
I,0.33,0.075,0.187,P
I,0.36,0.09,0.232,P
I,0.375,0.095,0.196,P
I,0.375,0.09,0.2545,P
I,0.39,0.09,0.2625,P
I,0.45,0.105,0.362,P
I,0.455,0.105,0.4445,P
I,0.46,0.115,0.511,P
I,0.495,0.12,0.589,P
M,0.5,0.13,0.5945,P
I,0.5,0.12,0.529,P
M,0.52,0.105,0.872,P
I,0.52,0.145,0.77,P
F,0.525,0.135,0.8435,P
M,0.535,0.14,0.818,P
F,0.54,0.14,0.8035,P
F,0.54,0.15,0.8115,P
F,0.57,0.13,0.782,P
M,0.57,0.14,0.8745,P
M,0.58,0.16,0.984,P
F,0.58,0.135,0.95,P
M,0.59,0.155,1.1735,P
F,0.59,0.15,0.976,N
M,0.59,0.155,1.0785,P
M,0.595,0.16,1.057,P
M,0.6,0.175,1.11,P
M,0.6,0.16,1.142,N
M,0.605,0.19,1.1255,N
F,0.62,0.17,1.1045,N
M,0.625,0.175,1.3405,N
M,0.625,0.13,1.082,P
F,0.625,0.16,1.254,P
M,0.63,0.165,1.2005,N
M,0.63,0.16,1.243,N
F,0.635,0.185,1.286,N
F,0.645,0.16,1.1665,P
F,0.645,0.16,1.144,P
F,0.65,0.19,1.385,N
F,0.655,0.155,1.309,N
F,0.655,0.17,1.527,N
M,0.665,0.19,1.6385,N
M,0.695,0.195,1.691,N
F,0.72,0.18,1.719,N
F,0.72,0.18,1.52,N
F,0.72,0.17,1.613,N
M,0.735,0.21,2.2355,N
M,0.74,0.19,2.3235,N
I,0.31,0.07,0.1245,P
I,0.315,0.075,0.1285,P
I,0.32,0.08,0.181,P
I,0.325,0.075,0.1585,P
I,0.335,0.09,0.1965,P
I,0.37,0.085,0.198,P
I,0.37,0.09,0.1855,P
I,0.375,0.085,0.2145,P
I,0.4,0.09,0.3245,P
I,0.41,0.095,0.2625,P
I,0.425,0.1,0.371,P
I,0.435,0.095,0.298,P
I,0.445,0.09,0.336,P
I,0.46,0.14,0.447,P
F,0.465,0.11,0.4085,P
I,0.47,0.13,0.587,P
I,0.475,0.11,0.494,P
I,0.495,0.12,0.614,P
I,0.5,0.13,0.5075,P
I,0.5,0.12,0.5445,P
I,0.505,0.125,0.6115,P
I,0.505,0.125,0.5605,P
M,0.505,0.115,0.521,P
I,0.51,0.145,0.5775,P
I,0.51,0.125,0.5935,P
I,0.52,0.11,0.597,P
M,0.52,0.15,0.9505,P
I,0.53,0.125,0.616,P
M,0.53,0.15,0.8315,N
F,0.535,0.125,0.8725,P
I,0.54,0.13,0.8155,N
I,0.54,0.11,0.619,N
I,0.545,0.13,0.7595,P
I,0.545,0.15,0.742,N
I,0.55,0.165,0.804,P
I,0.55,0.13,0.664,P
F,0.55,0.14,0.745,P
I,0.56,0.13,0.728,P
I,0.56,0.13,0.777,P
F,0.575,0.15,0.8765,P
I,0.575,0.16,0.9895,P
M,0.575,0.165,0.9655,P
M,0.58,0.15,0.9065,P
M,0.58,0.15,1.049,N
F,0.58,0.17,0.9705,P
F,0.58,0.15,0.92,P
M,0.58,0.15,0.9525,N
F,0.58,0.125,0.7855,N
I,0.585,0.135,0.855,P
M,0.59,0.15,1.142,P
I,0.59,0.125,0.755,P
I,0.59,0.145,0.9745,N
M,0.595,0.155,1.2015,N
M,0.595,0.17,1.1295,N
I,0.6,0.135,0.9205,P
F,0.6,0.17,1.056,N
M,0.6,0.195,1.34,N
F,0.6,0.15,0.9625,P
M,0.6,0.165,1.0475,N
F,0.605,0.17,1.0915,N
M,0.605,0.18,1.167,P
I,0.605,0.155,0.9995,N
I,0.61,0.155,1.0485,N
F,0.61,0.195,1.2735,N
M,0.61,0.14,1.0625,N
I,0.61,0.16,1.1545,N
F,0.615,0.175,1.194,N
F,0.615,0.135,1.1215,P
M,0.615,0.15,0.9335,N
F,0.615,0.165,1.198,N
F,0.62,0.15,0.9545,P
M,0.62,0.195,1.3585,N
M,0.625,0.175,1.2075,N
M,0.625,0.165,1.217,N
F,0.625,0.16,1.217,N
F,0.625,0.145,0.92,N
M,0.625,0.12,0.8765,N
F,0.63,0.165,1.2615,N
M,0.63,0.18,1.2795,P
F,0.63,0.185,1.167,N
M,0.63,0.17,1.1885,P
F,0.635,0.19,1.3765,N
M,0.635,0.175,1.292,N
M,0.635,0.18,1.1795,N
F,0.635,0.19,1.29,P
M,0.635,0.16,1.2075,N
M,0.64,0.18,1.297,N
M,0.64,0.175,1.4585,N
F,0.645,0.15,1.151,N
F,0.645,0.17,1.197,N
M,0.645,0.19,1.539,N
M,0.65,0.195,1.676,N
F,0.65,0.2,1.6645,N
F,0.655,0.205,1.528,N
F,0.655,0.2,1.494,N
F,0.66,0.16,1.277,N
F,0.66,0.18,1.5965,N
F,0.665,0.175,1.3805,N
I,0.67,0.175,1.2565,P
F,0.67,0.19,1.527,N
M,0.67,0.17,1.4005,P
M,0.67,0.195,1.4405,P
M,0.67,0.175,1.482,N
M,0.68,0.16,1.2345,N
F,0.68,0.17,1.3435,N
M,0.685,0.19,1.533,N
M,0.69,0.18,1.8445,N
M,0.715,0.175,1.825,N
M,0.72,0.19,2.0885,N
M,0.735,0.205,2.087,N
M,0.745,0.2,1.884,N
I,0.32,0.095,0.305,P
I,0.43,0.115,0.4295,P
I,0.43,0.1,0.449,P
M,0.485,0.155,1.029,P
M,0.49,0.155,0.981,P
I,0.5,0.115,0.5745,P
F,0.505,0.13,0.693,P
F,0.51,0.21,1.183,P
F,0.525,0.135,0.7905,P
F,0.535,0.15,1.224,N
I,0.535,0.135,0.775,P
M,0.535,0.175,1.2705,N
M,0.555,0.19,1.406,N
M,0.555,0.15,0.873,P
M,0.56,0.135,0.9415,P
F,0.59,0.14,1.007,P
M,0.595,0.15,1.0835,P
I,0.595,0.165,0.9845,P
F,0.595,0.21,1.5245,N
M,0.61,0.175,1.024,P
M,0.61,0.17,1.281,P
F,0.62,0.17,1.148,N
F,0.625,0.11,1.136,P
F,0.635,0.17,1.2235,P
F,0.635,0.18,1.3695,N
M,0.64,0.16,1.006,P
M,0.64,0.165,1.307,N
M,0.645,0.185,1.463,N
F,0.655,0.175,1.2905,N
F,0.67,0.17,1.4265,N
M,0.68,0.21,1.7885,N
M,0.7,0.185,1.6135,N
M,0.73,0.225,2.2305,N
F,0.75,0.205,2.2635,N
I,0.255,0.065,0.074,P
I,0.375,0.08,0.2075,P
I,0.375,0.09,0.237,P
I,0.39,0.1,0.2665,P
I,0.39,0.09,0.215,P
I,0.395,0.09,0.253,P
I,0.42,0.11,0.309,P
I,0.435,0.105,0.3535,P
I,0.435,0.105,0.335,P
I,0.44,0.105,0.3875,P
I,0.45,0.115,0.365,P
I,0.45,0.125,0.4045,P
I,0.455,0.105,0.372,P
I,0.46,0.11,0.3965,P
I,0.47,0.125,0.5225,P
I,0.475,0.11,0.456,P
I,0.495,0.1,0.44,P
I,0.495,0.115,0.507,P
I,0.5,0.135,0.5285,P
I,0.515,0.125,0.572,P
I,0.52,0.14,0.6625,N
I,0.52,0.115,0.6445,N
I,0.525,0.11,0.6275,P
I,0.535,0.145,0.6885,P
M,0.535,0.12,0.6835,P
M,0.54,0.19,0.6855,N
I,0.55,0.15,0.6755,N
I,0.55,0.145,0.783,N
M,0.56,0.145,0.894,P
I,0.565,0.135,0.768,P
M,0.57,0.145,0.95,N
F,0.57,0.14,0.871,N
M,0.575,0.15,0.9785,P
I,0.575,0.13,0.7425,P
M,0.575,0.14,0.737,N
I,0.575,0.16,0.9175,P
F,0.58,0.155,0.8785,N
M,0.585,0.175,1.1275,N
M,0.59,0.165,0.9765,P
I,0.59,0.145,0.974,P
M,0.59,0.15,0.853,P
M,0.595,0.175,0.991,N
M,0.595,0.14,0.9125,P
F,0.595,0.16,0.921,P
F,0.6,0.14,0.869,N
M,0.6,0.15,0.8665,N
F,0.61,0.16,1.089,N
M,0.615,0.215,0.9615,N
M,0.615,0.17,1.145,N
I,0.62,0.16,0.907,N
F,0.625,0.155,1.1635,N
M,0.63,0.175,1.1955,N
M,0.63,0.18,1.31,N
F,0.635,0.165,1.251,N
F,0.635,0.155,1.145,P
M,0.635,0.18,1.154,P
F,0.64,0.145,1.1335,N
F,0.64,0.15,1.2015,P
M,0.65,0.17,1.5595,N
M,0.65,0.175,1.3165,N
M,0.655,0.165,1.403,N
F,0.655,0.16,1.204,P
F,0.655,0.17,1.2895,N
F,0.66,0.18,1.5175,N
M,0.665,0.155,1.3575,N
M,0.675,0.145,1.3645,N
F,0.68,0.185,1.494,N
F,0.68,0.195,1.664,N
M,0.685,0.165,1.545,N
F,0.695,0.2,1.5855,N
F,0.7,0.22,1.666,N
M,0.71,0.175,1.724,N
F,0.73,0.205,1.908,N
F,0.755,0.2,2.073,N
I,0.225,0.05,0.0515,P
I,0.23,0.05,0.057,P
I,0.255,0.06,0.0925,P
I,0.355,0.075,0.204,P
I,0.425,0.095,0.3075,P
I,0.425,0.085,0.262,P
M,0.455,0.11,0.458,P
M,0.46,0.14,0.491,N
M,0.495,0.12,0.474,N
M,0.51,0.125,0.5805,N
F,0.52,0.15,0.728,N
M,0.525,0.13,0.622,P
M,0.53,0.12,0.706,P
F,0.53,0.115,0.5685,P
M,0.545,0.145,0.9385,N
F,0.55,0.15,0.655,P
M,0.575,0.15,0.9465,P
M,0.58,0.125,0.9115,N
M,0.595,0.145,0.942,N
M,0.6,0.18,1.193,P
M,0.645,0.18,1.461,N
M,0.66,0.2,1.489,N
I,0.29,0.06,0.1115,P
I,0.3,0.065,0.1235,P
I,0.37,0.1,0.2815,P
I,0.375,0.08,0.226,P
I,0.38,0.085,0.2285,P
I,0.395,0.12,0.2995,P
I,0.41,0.105,0.361,P
I,0.415,0.115,0.3045,P
I,0.425,0.105,0.3975,P
I,0.44,0.1,0.379,P
I,0.44,0.12,0.4995,P
M,0.465,0.135,0.7775,N
F,0.47,0.1,0.4705,P
M,0.51,0.145,0.751,P
F,0.525,0.135,0.714,N
F,0.525,0.13,0.6995,P
F,0.55,0.14,0.952,P
M,0.56,0.15,0.8755,P
M,0.575,0.135,0.9215,P
F,0.575,0.135,0.8285,N
M,0.585,0.15,1.206,N
M,0.615,0.155,1.2865,N
F,0.62,0.155,1.1945,P
F,0.63,0.19,1.1655,N
F,0.63,0.17,1.2155,N
M,0.67,0.165,1.1735,N
M,0.675,0.16,1.532,N
F,0.685,0.17,1.5105,N
F,0.485,0.1,0.5565,P
M,0.46,0.125,0.547,P
M,0.46,0.125,0.5165,P
M,0.535,0.125,0.764,N
M,0.465,0.105,0.488,N
M,0.51,0.14,0.6905,N
I,0.335,0.09,0.1835,N
M,0.55,0.16,0.97,N
I,0.18,0.08,0.033,P
I,0.215,0.055,0.059,P
I,0.2,0.04,0.046,P
F,0.625,0.2,1.3235,P
M,0.55,0.17,0.8465,N
M,0.585,0.15,1.047,N
F,0.645,0.18,1.2785,N
F,0.71,0.195,1.8745,N
F,0.7,0.215,1.978,N
F,0.655,0.165,1.367,N
F,0.665,0.175,1.742,N
F,0.47,0.105,0.513,N
M,0.425,0.1,0.4085,P
M,0.54,0.13,0.56,P
M,0.505,0.125,0.635,P
M,0.535,0.165,0.875,N
F,0.43,0.09,0.397,P
M,0.55,0.11,0.806,P
F,0.34,0.085,0.204,P
I,0.275,0.065,0.1165,P
F,0.335,0.07,0.17,P
M,0.64,0.14,1.194,N
F,0.55,0.125,0.765,P
F,0.64,0.19,1.151,N
F,0.545,0.115,0.6765,P
F,0.64,0.175,1.571,N
M,0.605,0.155,1.153,N
M,0.605,0.115,1.114,N
M,0.56,0.155,0.9125,N
F,0.57,0.155,0.872,N
M,0.525,0.16,0.792,N
F,0.505,0.18,0.606,N
M,0.35,0.09,0.2265,P
M,0.45,0.12,0.3955,P
I,0.51,0.12,0.61,N
F,0.49,0.13,0.539,N
F,0.505,0.135,0.657,N
M,0.38,0.1,0.2505,P
I,0.27,0.07,0.102,P
F,0.37,0.1,0.2685,P
M,0.5,0.135,0.551,N
M,0.645,0.165,1.307,N
M,0.565,0.115,0.9185,N
F,0.67,0.175,1.707,N
F,0.59,0.15,0.8805,N
F,0.47,0.11,0.4965,P
F,0.51,0.135,0.632,P
M,0.72,0.23,2.2695,N
M,0.55,0.15,0.9235,P
I,0.2,0.025,0.0345,P
M,0.65,0.18,1.3315,N
F,0.525,0.115,0.72,N
M,0.565,0.185,1.032,N
F,0.61,0.16,1.017,N
F,0.545,0.175,0.98,N
I,0.325,0.075,0.1495,P
I,0.31,0.075,0.1515,P
M,0.45,0.14,0.478,N
F,0.49,0.155,0.578,P
F,0.505,0.16,0.6835,N
F,0.385,0.1,0.2725,P
F,0.62,0.22,1.511,N
F,0.635,0.185,1.3035,N
F,0.665,0.185,1.3955,N
M,0.335,0.095,0.1975,P
I,0.295,0.075,0.116,P
I,0.48,0.125,0.523,N
I,0.32,0.08,0.1565,P
I,0.43,0.125,0.384,N
M,0.565,0.14,1.0055,N
F,0.6,0.165,1.1345,N
F,0.585,0.17,1.0835,N
F,0.555,0.14,0.868,N
F,0.57,0.16,1.0915,N
F,0.62,0.175,1.271,N
M,0.63,0.19,1.4985,N
M,0.425,0.12,0.388,N
F,0.64,0.19,1.2355,N
M,0.675,0.175,1.402,N
M,0.5,0.145,0.6025,N
M,0.385,0.09,0.2775,P
M,0.52,0.195,0.973,N
M,0.52,0.175,0.753,P
M,0.64,0.2,1.3765,N
I,0.44,0.12,0.375,P
F,0.42,0.13,0.4135,N
F,0.45,0.135,0.56,N
I,0.42,0.125,0.3915,P
F,0.64,0.19,1.2765,N
M,0.57,0.15,0.96,N
M,0.41,0.12,0.3745,N
M,0.485,0.15,0.696,N
F,0.61,0.19,1.2955,N
F,0.59,0.205,1.2315,N
M,0.665,0.155,1.383,N
I,0.345,0.1,0.2225,P
M,0.635,0.155,1.156,N
M,0.695,0.15,1.477,N
F,0.69,0.185,1.5715,N
M,0.555,0.135,0.858,N
M,0.65,0.19,1.4995,N
M,0.635,0.19,1.467,N
F,0.655,0.16,1.092,N
F,0.69,0.205,1.8165,N
F,0.695,0.16,1.6365,N
M,0.55,0.16,0.906,N
F,0.61,0.19,1.213,N
M,0.595,0.165,1.06,N
M,0.3,0.09,0.161,P
F,0.435,0.125,0.459,P
I,0.455,0.125,0.533,P
M,0.48,0.13,0.6175,N
I,0.43,0.105,0.366,P
F,0.435,0.105,0.4195,P
I,0.3,0.075,0.15,P
F,0.575,0.15,0.8745,N
M,0.505,0.11,0.655,P
M,0.455,0.125,0.484,P
M,0.64,0.165,1.4435,N
F,0.56,0.125,0.8775,N
F,0.645,0.19,1.3105,N
F,0.595,0.145,1.2515,N
M,0.565,0.115,0.9085,N
F,0.655,0.14,1.1705,N
M,0.48,0.135,0.528,N
F,0.495,0.135,0.6625,N
F,0.4,0.115,0.4335,N
M,0.41,0.125,0.3595,N
F,0.595,0.145,1.107,N
F,0.625,0.13,0.8595,N
M,0.52,0.155,0.7735,N
M,0.465,0.125,0.4365,N
F,0.475,0.14,0.501,N
F,0.5,0.14,0.6735,N
M,0.46,0.11,0.415,N
M,0.485,0.125,0.4775,N
F,0.465,0.14,0.5555,N
M,0.525,0.16,0.6445,N
F,0.655,0.19,1.428,N
M,0.69,0.185,1.6195,N
M,0.55,0.17,0.81,N
F,0.58,0.165,1.0385,N
F,0.59,0.155,0.9715,N
M,0.565,0.155,0.868,N
F,0.665,0.185,1.522,N
F,0.62,0.175,1.1255,N
M,0.55,0.13,0.7085,N
F,0.605,0.145,1.0185,N
M,0.535,0.16,0.72,N
F,0.51,0.12,0.6175,N
M,0.53,0.13,0.738,P
F,0.495,0.15,0.597,N
M,0.575,0.185,1.156,N
F,0.63,0.16,1.22,N
M,0.59,0.12,0.7485,N
F,0.605,0.165,1.0735,N
M,0.645,0.19,1.229,N
F,0.62,0.175,1.146,N
M,0.605,0.175,1.145,N
F,0.615,0.205,1.1055,N
F,0.66,0.19,1.67,N
F,0.71,0.175,1.555,N
F,0.565,0.185,0.9285,N
F,0.57,0.14,0.8085,N
I,0.6,0.175,1.057,N
I,0.41,0.115,0.2595,N
F,0.45,0.135,0.438,P
M,0.275,0.08,0.099,P
I,0.485,0.12,0.5085,P
F,0.62,0.165,1.166,N
F,0.48,0.135,0.507,N
F,0.505,0.15,0.6345,N
M,0.4,0.11,0.314,N
I,0.45,0.115,0.4385,N
M,0.35,0.09,0.195,P
M,0.44,0.14,0.451,N
M,0.265,0.065,0.084,P
M,0.165,0.04,0.0245,P
F,0.705,0.2,1.4685,N
F,0.535,0.155,0.7765,N
I,0.49,0.14,0.5425,N
F,0.48,0.13,0.5885,N
F,0.395,0.105,0.3375,N
I,0.375,0.1,0.2565,N
M,0.345,0.09,0.163,N
I,0.55,0.135,0.8095,N
I,0.635,0.2,1.3655,N
I,0.575,0.17,0.967,N
F,0.545,0.15,0.6855,N
F,0.385,0.125,0.314,N
F,0.51,0.18,0.7005,N
I,0.44,0.125,0.4895,N
I,0.45,0.125,0.45,N
I,0.39,0.105,0.259,P
F,0.425,0.135,0.382,N
F,0.45,0.125,0.4435,N
I,0.66,0.18,1.6935,N
F,0.685,0.175,1.71,N
F,0.585,0.185,0.8575,N
I,0.54,0.145,0.97,N
F,0.49,0.135,0.59,N
M,0.43,0.095,0.34,N
F,0.455,0.11,0.385,N
I,0.495,0.145,0.515,N
F,0.48,0.145,0.59,N
I,0.47,0.16,0.51,N
M,0.415,0.1,0.3005,N
I,0.49,0.115,0.683,N
I,0.47,0.105,0.468,N
I,0.445,0.13,0.4075,N
F,0.51,0.13,0.584,N
F,0.52,0.145,0.829,N
I,0.475,0.14,0.4545,P
F,0.455,0.11,0.4385,N
I,0.435,0.11,0.407,N
I,0.39,0.1,0.3085,P
I,0.375,0.1,0.239,P
M,0.285,0.075,0.106,P
I,0.58,0.17,1.178,N
F,0.58,0.175,1.073,N
M,0.41,0.095,0.306,P
M,0.41,0.1,0.301,P
I,0.54,0.15,0.7585,N
M,0.33,0.085,0.171,N
I,0.44,0.115,0.3625,N
M,0.28,0.065,0.0905,P
I,0.59,0.195,1.0885,N
I,0.61,0.165,1.097,N
I,0.61,0.17,1.278,N
M,0.455,0.125,0.44,N
M,0.33,0.09,0.163,N
I,0.44,0.135,0.522,N
M,0.54,0.155,0.9715,N
F,0.475,0.125,0.588,N
F,0.46,0.15,0.5325,N
I,0.31,0.09,0.127,P
I,0.255,0.07,0.0815,P
M,0.335,0.075,0.1635,P
I,0.295,0.08,0.1,P
I,0.19,0.045,0.0265,P
M,0.545,0.165,0.9955,N
M,0.495,0.12,0.6605,N
M,0.5,0.13,0.721,N
F,0.305,0.07,0.1485,P
F,0.475,0.115,0.487,N
